Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes
Intel® Identity Protection Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes
Intel® Smart Response Technology,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,Yes,Yes,Yes,Yes
Intel® My WiFi Technology,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes
Intel® Thermal Velocity Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,No,,,Yes,,,
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,

Security & Reliability
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Stable Image Platform Program (SIPP),,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,No,No,No,No,No,No,No,No,No,No,,Yes,,,Yes,No,No,No
Intel vPro® Eligibility ‡,,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,,,Intel vPro® Platform,Intel vPro® Platform,,,,,,Intel vPro® Platform,,,Intel vPro® Platform,,,,,,,,,Intel vPro® Platform,Intel vPro® Platform,,,Intel vPro® Platform,Intel vPro® Platform,,,,,,,,,,,,,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,,
Intel® Memory Protection Extensions (Intel® MPX),,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,
Intel® Boot Guard,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,No,No,Yes,,No,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,

Discrete Graphics
Graphics Name‡,,,,,,,,,,,,,,,,,,,,Radeon™ RX Vega M GL Graphics,Radeon™ RX Vega M GH Graphics,Radeon™ RX Vega M GL Graphics,Radeon™ RX Vega M GH Graphics,Radeon™ RX Vega M GL Graphics,,,,,,,,,,,,,,,,,,Radeon™ Pro WX Vega M GL Graphics,Radeon™ Pro WX Vega M GL Graphics,,,,,,,,,,,,,,,,,,,,,
Graphics Max Dynamic Frequency,,,,,,,,,,,,,,,,,,,,1011 MHz,1190 MHz,1011 MHz,1190 MHz,1011 MHz,,,,,,,,,,,,,,,,,,1011 MHz,1011 MHz,,,,,,,,,,,,,,,,,,,,,
Graphics Base Frequency,,,,,,,,,,,,,,,,,,,,931 MHz,1063 MHz,931 MHz,1063 MHz,931 MHz,,,,,,,,,,,,,,,,,,931 MHz,931 MHz,,,,,,,,,,,,,,,,,,,,,
Compute Units,,,,,,,,,,,,,,,,,,,,20,24,20,24,20,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,
Graphics Memory Bandwidth,,,,,,,,,,,,,,,,,,,,179.2 GB/s,204.8 GB/s,179.2 GB/s,204.8 GB/s,179.2 GB/s,,,,,,,,,,,,,,,,,,179.2 GB/s,179.2 GB/s,,,,,,,,,,,,,,,,,,,,,
Graphics Memory Interface,,,,,,,,,,,,,,,,,,,,1024 bit,1024 bit,1024 bit,1024 bit,1024 bit,,,,,,,,,,,,,,,,,,1024 bit,1024 bit,,,,,,,,,,,,,,,,,,,,,
Graphics Output,,,,,,,,,,,,,,,,,,,,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,,,,,,,,,,,,,,,,,,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,eDP 1.4 |  DP 1.4 w/ HDR |  HDMI 2.0b |  DVI,,,,,,,,,,,,,,,,,,,,,
4K Support,,,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,,,,
Max Resolution (HDMI)‡,,,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,,,,
Max Resolution (DP)‡,,,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,,,,
Max Resolution (eDP - Integrated Flat Panel)‡,,,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,,,,
DirectX* Support,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,
Vulkan* Support,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
OpenGL* Support,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,4.5,4.5,,,,,,,,,,,,,,,,,,,,,
H.264 Hardware Encode/Decode,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
H.265 (HEVC) Hardware Encode/Decode,,,,,,,,,,,,,,,,,,,,Yes |  10-bit,Yes |  10-bit,Yes |  10-bit,Yes |  10-bit,Yes |  10-bit,,,,,,,,,,,,,,,,,,Yes |  10-bit,Yes |  10-bit,,,,,,,,,,,,,,,,,,,,,
# of Displays Supported‡,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,
